Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due date,Custom field (Composant),Labels,Labels,Labels,Labels
Task,MGPSUP-2511,56717,Régularisation des account default en négatif - cas Leetchi,mickael.pois,nicolas.gicquel,,Done,Fixed,2019-05-17 11:56,2019-05-20 11:23,,,,,,
Task,MGPSUP-2406,55484,Régularisation des account default en négatif - cas MGP,,nicolas.gicquel,,Done,Fixed,2019-02-13 09:54,2019-05-27 10:36,,,,,,
Task,MGPSUP-2387,55500,Extract successful Payin Bankwire data for wallet ID 48035112 ,,removed21,,Won't Do,,2019-02-13 15:19,2019-02-14 10:38,,,,,,
Task,MGPSUP-2264,54625,Report desynch - KOALECT,mickael.pois,maxence.busson,,Done,Done,2018-12-07 11:41,2018-12-18 15:38,,,,,,
Task,MGPSUP-2022,51208,"""Submitting"" Mandate status shown to the client",,julien.job,,Done,Done,2018-06-07 17:44,2018-07-12 11:34,,,,,,
Task,MGPSUP-1908,50666,Edit batch status for withdrawals batch  23594 / 23593 / 23591 / 23586,removed85,matthieu,,Done,Done,2018-04-18 11:13,2018-04-18 12:05,,,update_production,,,
Task,MGPSUP-1830,50337,Liste des batchs téléchargés en production,removed60,julien.job,,Done,Done,2018-03-01 14:50,2018-03-02 09:31,,,,,,
Task,MGPSUP-2627,57618,Cards list reporting,maxence.busson,maxence.busson,Blocker,TAM Analyse,,2019-08-02 16:08,2019-08-30 14:24,,,,,,
Task,MGPSUP-2617,57579,Switch sandbox account to PaymentServices,richard.prodhomme,wladimir.dharcourt,Blocker,Done,Fixed,2019-07-30 16:57,2019-08-01 11:22,,API,update_production,,,
Task,MGPSUP-2616,57577,Switch all sandbox client to AML4 rules,richard.prodhomme,wladimir.dharcourt,Blocker,Done,Fixed,2019-07-30 16:29,2019-08-01 10:39,,API,update_production,,,
Task,MGPSUP-2565,57053,Find out why we are still missing events after changing the way we handle GLC events ,,removed91,Blocker,Fix pending,,2019-06-17 16:34,2019-08-28 16:39,,API,gocardless,,,
Task,MGPSUP-2558,57029,Process 13 904 GCL events that we missed today,,removed91,Blocker,Done,Fixed,2019-06-14 17:54,2019-06-18 15:42,2019-06-14 00:00,,,,,
Task,MGPSUP-2555,57023,Close 93 payline refunds that are still in CREATED,richard.prodhomme,removed91,Blocker,Done,Fixed,2019-06-14 16:04,2019-06-19 11:19,,,,,,
Task,MGPSUP-2554,57022,Close 31 paypal refunds that are still in CREATED,richard.prodhomme,removed91,Blocker,Done,Fixed,2019-06-14 16:03,2019-06-19 11:20,,,,,,
Task,MGPSUP-2550,57010,Extract the full list of transactions that were impacted by GCL incident,,removed91,Blocker,Done,Fixed,2019-06-14 11:54,2019-06-14 15:40,2019-06-14 00:00,,,,,
Task,MGPSUP-2545,56984,Process the remaining 140k+ GCL events following the incident,taher.sehli,removed91,Blocker,Done,Fixed,2019-06-13 15:01,2019-06-18 14:25,,,,,,
